Extension;Load;Strain 1
36.03;2469.72;4.183
36.05;2469;4.192
36.07;2468.96;4.2
36.08;2469.97;4.209
36.1;2469.68;4.218
36.12;2470.26;4.228
36.13;2469.87;4.236
36.15;2469.69;4.246
36.17;2470.24;4.255
36.18;2470.62;4.264
36.2;2470.43;4.274
36.22;2470.64;4.283
36.23;2471.13;4.293
36.25;2471.19;4.302
36.27;2470.89;4.312
36.28;2471.26;4.321
36.3;2471.39;4.331
36.32;2471.77;4.341
36.33;2472.87;4.351
36.35;2473.15;4.361
36.37;2472.95;4.371
36.38;2473.34;4.381
36.4;2473.73;4.391
36.42;2473.59;4.401
36.43;2473.81;4.411
36.45;2474.42;4.421
36.47;2474.01;4.432
36.48;2474.29;4.442
36.5;2474.24;4.453
36.52;2475.12;4.463
36.53;2474.88;4.474
36.55;2474.6;4.484
36.57;2474.37;4.495
36.58;2475.05;4.506
36.6;2475.07;4.517
36.62;2475.41;4.528
36.63;2475.26;4.539
36.65;2475.81;4.55
36.67;2475.27;4.561
36.68;2475.14;4.572
36.7;2475.96;4.584
36.72;2475.8;4.596
36.73;2476.66;4.607
36.75;2476.73;4.619
36.77;2477.07;4.63
36.78;2477.7;4.642
36.8;2477.8;4.654
36.82;2477.61;4.666
36.83;2477.7;4.678
36.85;2478.13;4.69
36.87;2478.29;4.702
36.88;2478.96;4.714
36.9;2478.74;4.726
36.92;2478.93;4.739
36.93;2479.22;4.751
36.95;2479.71;4.764
36.97;2479.87;4.777
36.98;2479.75;4.789
37;2480.35;4.802
37.02;2480.29;4.815
37.03;2480.16;4.828
37.05;2480.94;4.841
37.07;2481.88;4.854
37.08;2481.83;4.868
37.1;2481.89;4.881
37.12;2481.88;4.894
37.13;2482.91;4.908
37.15;2482.65;4.921
37.17;2483.2;4.935
37.18;2483.66;4.948
37.2;2484.22;4.962
37.22;2484.54;4.976
37.23;2484.6;4.99
37.25;2485.22;5.004
37.27;2485.4;5.018
37.28;2485.54;5.035
37.3;2486.09;5.051
37.32;2485.41;5.068
37.33;2486.3;4.502
37.35;2485.47;-1.404
37.37;2485.62;-1.676
37.38;2485.48;-1.479
37.4;2486.15;-1.536
37.42;2486.25;-1.549
37.43;2486.53;-1.528
37.45;2487.11;-1.543
37.47;2487.33;-1.542
37.48;2487.31;-1.55
37.5;2485.44;-1.55
37.52;2486.84;-1.54
37.53;2488.79;-1.546
37.55;2491.31;-1.553
37.57;2488.49;-1.551
37.58;2488.06;-1.554
37.6;2485.27;-1.547
37.62;2486.04;-1.554
37.63;2487.39;-1.558
37.65;2486.8;-1.554
37.67;2486.2;-1.552
37.68;2485.6;-1.561
37.7;2485.35;-1.555
37.72;2485.23;-1.566
37.73;2485.31;-1.58
37.75;2485.32;-1.59
37.77;2484.79;-1.598
37.78;2483.81;-1.651
37.8;2483.8;-1.666
37.82;2483.64;-1.701
37.83;2484.19;-1.745
37.85;2483.99;-1.779
37.87;2483.35;-1.786
37.88;2482.8;-1.805
37.9;2482.8;-1.796
37.92;2482.65;-1.804
37.93;2482.45;-1.795
37.95;2482.03;-1.8
37.97;2482.03;-1.798
37.98;2481.4;-1.799
38;2481.41;-1.801
38.02;2481.21;-1.799
38.03;2481.34;-1.801
38.05;2480.32;-1.8
38.07;2480.49;-1.801
38.08;2480.29;-1.801
38.1;2480.07;-1.8
38.12;2480.39;-1.801
38.13;2479.53;-1.8
38.15;2479.07;-1.8
38.17;2478.43;-1.801
38.18;2477.54;-1.8
38.2;2477.32;-1.8
38.22;2476.64;-1.8
38.23;2477.04;-1.8
38.25;2476.9;-1.801
38.27;2476.48;-1.8
38.28;2476.46;-1.801
38.3;2476.39;-1.801
38.32;2475.76;-1.801
38.33;2475.71;-1.801
38.35;2475.14;-1.802
38.37;2474.81;-1.801
38.38;2475.15;-1.802
38.4;2475.37;-1.802
38.42;2475.38;-1.802
38.43;2475.01;-1.802
38.45;2474.67;-1.801
38.47;2473.78;-1.801
38.48;2473.18;-1.801
38.5;2473.83;-1.801
38.52;2474.02;-1.802
38.53;2473.83;-1.801
38.55;2474.05;-1.802
38.57;2473.2;-1.802
38.58;2473.01;-1.802
38.6;2472.8;-1.802
38.62;2472.12;-1.802
38.63;2472.96;-1.802
38.65;2472.37;-1.802
38.67;2471.97;-1.802
38.68;2471.45;-1.802
38.7;2471.88;-1.802
38.72;2471.38;-1.802
38.73;2471.81;-1.802
38.75;2471.24;-1.802
38.77;2471.19;-1.802
38.78;2471.39;-1.802
38.8;2471.27;-1.802
38.82;2471.35;-1.802
38.83;2470.47;-1.803
38.85;2470.47;-1.803
38.87;2470.27;-1.803
38.88;2470.47;-1.803
38.9;2470.75;-1.803
38.92;2471.37;-1.803
38.93;2470.69;-1.803
38.95;2470.87;-1.803
38.97;2470.39;-1.803
38.98;2469.62;-1.803
39;2470.01;-1.803
39.02;2470.15;-1.803
39.03;2469.75;-1.803
39.05;2470.02;-1.803
39.07;2469.84;-1.803
39.08;2469.5;-1.803
39.1;2469.53;-1.803
39.12;2469.84;-1.803
39.13;2469.68;-1.803
39.15;2469.81;-1.803
39.17;2470.08;-1.803
39.18;2470.2;-1.803
39.2;2470.06;-1.804
39.22;2470.15;-1.803
39.23;2470.3;-1.803
39.25;2470.2;-1.803
39.27;2469.75;-1.803
39.28;2469.94;-1.803
39.3;2470.04;-1.804
39.32;2469.81;-1.804
39.33;2469.65;-1.804
39.35;2469.9;-1.804
39.37;2469.96;-1.804
39.38;2469.85;-1.804
39.4;2469.63;-1.804
39.42;2469.56;-1.804
39.43;2469.7;-1.804
39.45;2469.35;-1.804
39.47;2469.5;-1.804
39.48;2469.75;-1.804
39.5;2469.4;-1.804
39.52;2469.21;-1.804
39.53;2469.44;-1.804
39.55;2469.46;-1.804
39.57;2469.44;-1.804
39.58;2469.8;-1.804
39.6;2469.72;-1.804
39.62;2470.23;-1.804
39.63;2470.22;-1.804
39.65;2469.81;-1.804
39.67;2469.96;-1.804
39.68;2470.21;-1.804
39.7;2470.4;-1.804
39.72;2470.14;-1.804
39.73;2471.07;-1.804
39.75;2470.74;-1.804
39.77;2470.22;-1.804
39.78;2469.68;-1.804
39.8;2469.73;-1.804
39.82;2469.72;-1.804
39.83;2469.27;-1.804
39.85;2470.43;-1.804
39.87;2469.9;-1.804
39.88;2469.67;-1.804
39.9;2469.93;-1.804
39.92;2469.95;-1.804
39.93;2470.65;-1.804
39.95;2470.08;-1.804
39.97;2470.44;-1.804
39.98;2469.92;-1.805
40;2470.01;-1.805
40.02;2470.1;-1.805
40.03;2470.42;-1.805
40.05;2470.1;-1.805
40.07;2470.79;-1.805
40.08;2470.59;-1.805
40.1;2470.84;-1.805
40.12;2470.6;-1.805
40.13;2469.83;-1.805
40.15;2470.01;-1.805
40.17;2469.5;-1.805
40.18;2469.15;-1.805
40.2;2469.99;-1.805
40.22;2469.3;-1.805
40.23;2468.71;-1.805
40.25;2468.77;-1.805
40.27;2469.27;-1.805
40.28;2468.06;-1.805
40.3;2468.42;-1.805
40.32;2468.69;-1.805
40.33;2468.09;-1.805
40.35;2468.05;-1.805
40.37;2467.84;-1.805
40.38;2467.88;-1.805
40.4;2467.69;-1.805
40.42;2468.03;-1.805
40.43;2467.85;-1.805
40.45;2468.5;-1.805
40.47;2468.18;-1.805
40.48;2468.09;-1.805
40.5;2468.77;-1.805
40.52;2468.47;-1.805
40.53;2468;-1.805
40.55;2468.43;-1.805
40.57;2468.1;-1.805
40.58;2467.48;-1.805
40.6;2467.43;-1.805
40.62;2467.7;-1.805
40.63;2466.96;-1.805
40.65;2466.95;-1.805
40.67;2467.37;-1.805
40.68;2467.02;-1.805
40.7;2466.97;-1.806
40.72;2466.92;-1.806
40.73;2467.08;-1.806
40.75;2466.9;-1.806
40.77;2467.31;-1.806
40.78;2466.69;-1.806
40.8;2466.75;-1.806
40.82;2466.47;-1.805
40.83;2467.2;-1.805
40.85;2466.33;-1.805
40.87;2466.34;-1.805
40.88;2466.8;-1.806
40.9;2466.68;-1.806
40.92;2466.55;-1.806
40.93;2466.04;-1.806
40.95;2466.26;-1.806
40.97;2465.73;-1.806
40.98;2465.76;-1.806
41;2465.59;-1.806
41.02;2466.05;-1.806
41.03;2465.67;-1.806
41.05;2465.92;-1.806
41.07;2464.64;-1.806
41.08;2465.68;-1.806
41.1;2466.11;-1.806
41.12;2466.45;-1.806
41.13;2466.65;-1.806
41.15;2466.27;-1.806
41.17;2466.2;-1.806
41.18;2466.34;-1.806
41.2;2467.03;-1.806
41.22;2467.36;-1.806
41.23;2468.07;-1.806
41.25;2468.56;-1.806
41.27;2468.13;-1.806
41.28;2468.28;-1.806
41.3;2467.6;-1.806
41.32;2468.89;-1.806
41.33;2469.41;-1.806
41.35;2469.33;-1.806
41.37;2469.8;-1.806
41.38;2469.36;-1.806
41.4;2469.74;-1.806
41.42;2469.89;-1.806
41.43;2469.87;-1.806
41.45;2470.02;-1.806
41.47;2469.79;-1.806
41.48;2469.69;-1.806
41.5;2470.64;-1.806
41.52;2470.66;-1.806
41.53;2471.1;-1.806
41.55;2471.39;-1.806
41.57;2470.91;-1.806
41.58;2470.75;-1.806
41.6;2471.14;-1.806
41.62;2471.57;-1.806
41.63;2471.55;-1.806
41.65;2471.87;-1.806
41.67;2472.2;-1.806
41.68;2472.15;-1.806
41.7;2472.02;-1.806
41.72;2472.47;-1.806
41.73;2473.32;-1.806
41.75;2472.91;-1.806
41.77;2472.91;-1.806
41.78;2472.69;-1.806
41.8;2473.2;-1.806
41.82;2472.69;-1.806
41.83;2472.56;-1.806
41.85;2472.47;-1.806
41.87;2472.8;-1.807
41.88;2472.48;-1.807
41.9;2472;-1.807
41.92;2472.04;-1.807
41.93;2472.12;-1.807
41.95;2472.72;-1.807
41.97;2471.86;-1.806
41.98;2472.21;-1.806
42;2472.55;-1.806
42.02;2472.14;-1.806
42.03;2471.65;-1.806
42.05;2471.62;-1.806
42.07;2471.31;-1.807
42.08;2471.28;-1.807
42.1;2471.28;-1.807
42.12;2470.48;-1.807
42.13;2470.31;-1.807
42.15;2470.38;-1.807
42.17;2470.16;-1.807
42.18;2470.18;-1.807
42.2;2470.64;-1.807
42.22;2469.9;-1.807
42.23;2470.57;-1.807
42.25;2469.64;-1.807
42.27;2468.97;-1.807
42.28;2468.91;-1.807
42.3;2468.95;-1.807
42.32;2469.03;-1.807
42.33;2469.11;-1.807
42.35;2468.5;-1.807
42.37;2467.87;-1.807
42.38;2467.5;-1.807
42.4;2467.45;-1.807
42.42;2468.15;-1.807
42.43;2468.23;-1.807
42.45;2467.79;-1.807
42.47;2467.86;-1.807
42.48;2467.72;-1.807
42.5;2468.06;-1.807
42.52;2467.71;-1.807
42.53;2468.29;-1.807
42.55;2468.63;-1.807
42.57;2468.16;-1.807
42.58;2467.77;-1.807
42.6;2466.82;-1.807
42.62;2466.9;-1.807
42.63;2467.09;-1.807
42.65;2466.68;-1.807
42.67;2466.36;-1.807
42.68;2466.7;-1.807
42.7;2466.44;-1.807
42.72;2466.49;-1.807
42.73;2466.37;-1.807
42.75;2466.3;-1.807
42.77;2465.99;-1.807
42.78;2466.02;-1.807
42.8;2466.1;-1.807
42.82;2467;-1.807
42.83;2466.73;-1.807
42.85;2466.69;-1.807
42.87;2466.45;-1.807
42.88;2466.36;-1.807
42.9;2466.49;-1.807
42.92;2466.95;-1.807
42.93;2466.33;-1.807
42.95;2466.53;-1.807
42.97;2466.24;-1.807
42.98;2466.51;-1.807
43;2465.76;-1.807
43.02;2465.92;-1.807
43.03;2465.77;-1.807
43.05;2466.29;-1.807
43.07;2466.08;-1.807
43.08;2465.43;-1.807
43.1;2465.18;-1.807
43.12;2465.52;-1.807
43.13;2465.27;-1.807
43.15;2464.94;-1.807
43.17;2464.56;-1.807
43.18;2464.4;-1.807
43.2;2464.26;-1.807
43.22;2465.06;-1.807
43.23;2465.51;-1.807
43.25;2465.3;-1.807
43.27;2465.01;-1.807
43.28;2464.92;-1.807
43.3;2464.51;-1.807
43.32;2464.31;-1.807
43.33;2463.94;-1.808
43.35;2464.58;-1.807
43.37;2464.43;-1.807
43.38;2463.63;-1.808
43.4;2464.1;-1.807
43.42;2463.65;-1.807
43.43;2463.36;-1.807
43.45;2463.47;-1.808
43.47;2463.36;-1.807
43.48;2462.73;-1.807
43.5;2462.98;-1.807
43.52;2462.77;-1.807
43.53;2462.58;-1.807
43.55;2462.24;-1.807
43.57;2461.47;-1.807
43.58;2461.76;-1.808
43.6;2461.45;-1.808
43.62;2461.55;-1.808
43.63;2462.16;-1.808
43.65;2462.72;-1.808
43.67;2461.93;-1.808
43.68;2460.98;-1.808
43.7;2460.95;-1.808
43.72;2461.68;-1.808
43.73;2461.42;-1.808
43.75;2461.46;-1.808
43.77;2461.32;-1.808
43.78;2461.59;-1.808
43.8;2461.39;-1.808
43.82;2460.99;-1.808
43.83;2460.71;-1.808
43.85;2460.94;-1.808
43.87;2460.89;-1.808
43.88;2460.42;-1.808
43.9;2459.93;-1.808
43.92;2459.88;-1.808
43.93;2459.91;-1.808
43.95;2460.02;-1.808
43.97;2459.18;-1.808
43.98;2458.69;-1.808
44;2459.43;-1.808
44.02;2459.52;-1.808
44.03;2458.87;-1.808
44.05;2459.85;-1.808
44.07;2459.57;-1.808
44.08;2458.56;-1.808
44.1;2459.13;-1.808
44.12;2458.58;-1.808
44.13;2458.86;-1.808
44.15;2458.29;-1.808
44.17;2458.52;-1.808
44.18;2458.45;-1.808
44.2;2458.68;-1.808
44.22;2458.59;-1.808
44.23;2458.58;-1.808
44.25;2458.35;-1.808
44.27;2458.18;-1.808
44.28;2458.36;-1.808
44.3;2457.31;-1.808
44.32;2457.15;-1.808
44.33;2456.98;-1.808
44.35;2457.14;-1.808
44.37;2457.93;-1.808
44.38;2457.12;-1.808
44.4;2456.76;-1.808
44.42;2456.58;-1.808
44.43;2457.1;-1.808
44.45;2456.94;-1.808
44.47;2457.44;-1.808
44.48;2456.47;-1.808
44.5;2456.5;-1.808
44.52;2456.65;-1.808
44.53;2456.39;-1.808
44.55;2456.94;-1.808
44.57;2457.15;-1.808
44.58;2457.03;-1.808
44.6;2456.81;-1.808
44.62;2456.99;-1.808
44.63;2456.8;-1.808
44.65;2456.54;-1.808
44.67;2456.14;-1.808
44.68;2456.44;-1.808
44.7;2456.77;-1.808
44.72;2456.23;-1.808
44.73;2455.92;-1.808
44.75;2455.79;-1.808
44.77;2455.53;-1.808
44.78;2455.77;-1.808
44.8;2456.06;-1.808
44.82;2456.09;-1.808
44.83;2455.82;-1.808
44.85;2455.65;-1.808
44.87;2455.31;-1.808
44.88;2455.77;-1.808
44.9;2455.17;-1.808
44.92;2455.77;-1.808
44.93;2455.8;-1.808
44.95;2456.24;-1.808
44.97;2455.98;-1.808
44.98;2455.1;-1.808
45;2454.93;-1.808
45.02;2454.94;-1.808
45.03;2455.09;-1.808
45.05;2454.79;-1.808
45.07;2454.58;-1.808
45.08;2454.88;-1.808
45.1;2454.6;-1.808
45.12;2454.71;-1.808
45.13;2454.38;-1.808
45.15;2454.06;-1.808
45.17;2453.92;-1.808
45.18;2453.94;-1.808
45.2;2453.26;-1.808
45.22;2453.46;-1.808
45.23;2453.22;-1.808
45.25;2453.96;-1.808
45.27;2453.18;-1.808
45.28;2453.57;-1.808
45.3;2453.86;-1.808
45.32;2453.67;-1.808
45.33;2453.57;-1.808
45.35;2453.15;-1.808
45.37;2453.65;-1.808
45.38;2453.42;-1.808
45.4;2453.19;-1.808
45.42;2453.59;-1.808
45.43;2453.4;-1.808
45.45;2453.66;-1.808
45.47;2453.19;-1.808
45.48;2452.82;-1.808
45.5;2453.08;-1.808
45.52;2453.13;-1.808
45.53;2453.26;-1.808
45.55;2453.32;-1.808
45.57;2452.95;-1.808
45.58;2453.13;-1.808
45.6;2452.03;-1.809
45.62;2451.57;-1.809
45.63;2452.46;-1.809
45.65;2451.98;-1.809
45.67;2452.61;-1.809
45.68;2452.76;-1.809
45.7;2452.82;-1.808
45.72;2452.75;-1.808
45.73;2452.71;-1.808
45.75;2452.65;-1.808
45.77;2453.09;-1.808
45.78;2453.21;-1.808
45.8;2452.9;-1.808
45.82;2452.76;-1.809
45.83;2452.65;-1.809
45.85;2452.74;-1.809
45.87;2452.57;-1.809
45.88;2452.48;-1.809
45.9;2452.88;-1.809
45.92;2452.65;-1.809
45.93;2452.45;-1.809
45.95;2452.47;-1.809
45.97;2452.54;-1.809
45.98;2452.03;-1.809
46;2452.27;-1.809
46.02;2452.45;-1.809
46.03;2452.23;-1.809
46.05;2452.56;-1.809
46.07;2453.04;-1.809
46.08;2453.18;-1.809
46.1;2453.32;-1.809
46.12;2452.82;-1.809
46.13;2453.38;-1.809
46.15;2452.94;-1.809
46.17;2452.33;-1.809
46.18;2452.2;-1.809
46.2;2453.4;-1.809
46.22;2453.27;-1.809
46.23;2453.45;-1.809
46.25;2453.27;-1.809
46.27;2453.13;-1.809
46.28;2451.75;-1.809
46.3;2451.41;-1.809
46.32;2451.99;-1.809
46.33;2452.21;-1.809
46.35;2451.65;-1.809
46.37;2452.03;-1.809
46.38;2451.27;-1.809
46.4;2451.58;-1.809
46.42;2450.96;-1.809
46.43;2451.51;-1.809
46.45;2451.75;-1.809
46.47;2452;-1.809
46.48;2451.9;-1.809
46.5;2452.12;-1.809
46.52;2451.31;-1.809
46.53;2451.71;-1.809
46.55;2451;-1.809
46.57;2451.65;-1.809
46.58;2451.7;-1.809
46.6;2452.15;-1.809
46.62;2452.4;-1.809
46.63;2452.3;-1.809
46.65;2451.64;-1.809
46.67;2452.04;-1.809
46.68;2451;-1.809
46.7;2450.97;-1.809
46.72;2451.41;-1.809
46.73;2452.05;-1.809
46.75;2452.03;-1.809
46.77;2451.81;-1.809
46.78;2452.27;-1.809
46.8;2451.6;-1.809
46.82;2450.75;-1.809
46.83;2451.45;-1.809
46.85;2451.21;-1.809
46.87;2451.86;-1.809
46.88;2451.84;-1.809
46.9;2451.65;-1.809
46.92;2451.43;-1.809
46.93;2451.28;-1.809
46.95;2451.19;-1.809
46.97;2451.53;-1.809
46.98;2451.8;-1.809
47;2452.02;-1.809
47.02;2451.86;-1.809
47.03;2451.69;-1.809
47.05;2451.98;-1.809
47.07;2451.97;-1.809
47.08;2451.79;-1.809
47.1;2451.64;-1.809
47.12;2451.6;-1.809
47.13;2452.17;-1.809
47.15;2452.61;-1.809
47.17;2452.49;-1.809
47.18;2452.41;-1.809
47.2;2451.68;-1.809
47.22;2452.12;-1.809
47.23;2452.49;-1.809
47.25;2452.16;-1.809
47.27;2452.67;-1.809
47.28;2452.52;-1.809
47.3;2453.1;-1.809
47.32;2452.81;-1.809
47.33;2452.65;-1.809
47.35;2452.26;-1.809
47.37;2452.39;-1.809
47.38;2453.28;-1.809
47.4;2453.35;-1.809
47.42;2453.21;-1.809
47.43;2453.93;-1.809
47.45;2453.27;-1.809
47.47;2452.74;-1.809
47.48;2453;-1.809
47.5;2453.05;-1.809
47.52;2452.96;-1.809
47.53;2452.87;-1.809
47.55;2453.57;-1.809
47.57;2453.72;-1.809
47.58;2453.03;-1.809
47.6;2452.43;-1.809
47.62;2452.05;-1.809
47.63;2452.94;-1.809
47.65;2453.09;-1.809
47.67;2452.99;-1.809
47.68;2453.6;-1.809
47.7;2453.58;-1.809
47.72;2453.46;-1.809
47.73;2453.37;-1.809
47.75;2453.44;-1.809
47.77;2453.01;-1.809
47.78;2453.2;-1.809
47.8;2453.3;-1.809
47.82;2453.54;-1.809
47.83;2453.4;-1.809
47.85;2454.05;-1.809
47.87;2453.89;-1.809
47.88;2453.75;-1.809
47.9;2453.59;-1.809
47.92;2453.32;-1.809
47.93;2453.83;-1.809
47.95;2453.53;-1.809
47.97;2453.77;-1.809
47.98;2453.62;-1.809
48;2453.36;-1.809
48.02;2452.53;-1.809
48.03;2452.74;-1.809
48.05;2453.05;-1.809
48.07;2453.42;-1.809
48.08;2452.93;-1.809
48.1;2453.63;-1.809
48.12;2453.12;-1.809
48.13;2452.79;-1.809
48.15;2453;-1.809
48.17;2452.65;-1.809
48.18;2452.82;-1.809
48.2;2452.98;-1.809
48.22;2453.08;-1.809
48.23;2453.49;-1.809
48.25;2454.16;-1.809
48.27;2454.5;-1.809
48.28;2453.73;-1.809
48.3;2453.5;-1.809
48.32;2453.84;-1.809
48.33;2453.45;-1.809
48.35;2453.61;-1.809
48.37;2454.16;-1.809
48.38;2454.37;-1.809
48.4;2453.81;-1.809
48.42;2454;-1.81
48.43;2454.08;-1.81
48.45;2454.02;-1.81
48.47;2453.92;-1.809
48.48;2454.12;-1.809
48.5;2454.78;-1.809
48.52;2454.61;-1.809
48.53;2454.25;-1.809
48.55;2454.48;-1.809
48.57;2454.57;-1.809
48.58;2454.65;-1.809
48.6;2454.7;-1.809
48.62;2454.97;-1.809
48.63;2455.09;-1.809
48.65;2455.1;-1.81
48.67;2455.28;-1.81
48.68;2454.99;-1.81
48.7;2455.26;-1.81
48.72;2454.38;-1.81
48.73;2454.66;-1.81
48.75;2454.56;-1.81
48.77;2454.82;-1.809
48.78;2454.89;-1.809
48.8;2454.83;-1.809
48.82;2454.56;-1.809
48.83;2454.49;-1.809
48.85;2454.43;-1.809
48.87;2454.88;-1.809
48.88;2454.83;-1.809
48.9;2454.72;-1.809
48.92;2454.56;-1.809
48.93;2455.22;-1.809
48.95;2455.56;-1.81
48.97;2455.11;-1.81
48.98;2455.2;-1.81
49;2455.09;-1.81
49.02;2455.46;-1.81
49.03;2456.11;-1.81
49.05;2456.03;-1.81
49.07;2456.91;-1.81
49.08;2456.7;-1.81
49.1;2456.18;-1.809
49.12;2455.54;-1.809
49.13;2455.25;-1.809
49.15;2456.55;-1.81
49.17;2456.37;-1.81
49.18;2457.02;-1.81
49.2;2456.49;-1.81
49.22;2457.23;-1.81
49.23;2456.35;-1.81
49.25;2456.44;-1.81
49.27;2456.37;-1.81
49.28;2456.97;-1.81
49.3;2456.58;-1.81
49.32;2456.85;-1.81
49.33;2457.16;-1.81
49.35;2457.86;-1.81
49.37;2457.88;-1.81
49.38;2457.59;-1.81
49.4;2458.02;-1.81
49.42;2457.57;-1.81
49.43;2457.99;-1.81
49.45;2458.56;-1.81
49.47;2459.26;-1.81
49.48;2458.62;-1.81
49.5;2458.65;-1.81
49.52;2457.84;-1.81
49.53;2458.25;-1.81
49.55;2458.43;-1.81
49.57;2458.87;-1.81
49.58;2459.23;-1.81
49.6;2459.6;-1.81
49.62;2459.07;-1.81
49.63;2458.67;-1.81
49.65;2458.67;-1.81
49.67;2458.2;-1.81
49.68;2458.44;-1.81
49.7;2458.99;-1.81
49.72;2458.67;-1.81
49.73;2459.82;-1.81
49.75;2459.7;-1.81
49.77;2460.13;-1.81
49.78;2459.6;-1.81
49.8;2459.86;-1.81
49.82;2459.53;-1.81
49.83;2461.06;-1.81
49.85;2460.27;-1.81
49.87;2461.17;-1.81
49.88;2461.36;-1.81
49.9;2460.6;-1.81
49.92;2460.18;-1.81
49.93;2460.4;-1.81
49.95;2460.05;-1.81
49.97;2459.94;-1.81
49.98;2460.06;-1.81
50;2461.01;-1.81
50.02;2460.98;-1.81
50.03;2460.34;-1.81
50.05;2460.14;-1.81
50.07;2459.54;-1.81
50.08;2459.02;-1.81
50.1;2459.54;-1.81
50.12;2459.86;-1.81
50.13;2460.21;-1.81
50.15;2460.37;-1.81
50.17;2460.59;-1.81
50.18;2460.52;-1.81
50.2;2459.9;-1.81
50.22;2459.39;-1.81
50.23;2460.55;-1.81
50.25;2461.07;-1.81
50.27;2461.18;-1.81
50.28;2461.26;-1.81
50.3;2461.01;-1.81
50.32;2461.09;-1.81
50.33;2460.87;-1.81
50.35;2460.65;-1.81
50.37;2461.16;-1.81
50.38;2461.69;-1.81
50.4;2461.83;-1.81
50.42;2462.35;-1.81
50.43;2461.62;-1.81
50.45;2461.67;-1.81
50.47;2461.45;-1.81
50.48;2462;-1.81
50.5;2461.43;-1.81
50.52;2461.58;-1.81
50.53;2462.2;-1.81
50.55;2462.66;-1.81
50.57;2462.01;-1.81
50.58;2462.23;-1.81
50.6;2462.12;-1.81
50.62;2461.39;-1.81
50.63;2462.06;-1.81
50.65;2462.45;-1.81
50.67;2462.78;-1.81
50.68;2463.18;-1.81
50.7;2463;-1.81
50.72;2462.9;-1.81
50.73;2462.7;-1.81
50.75;2463.35;-1.81
50.77;2463.31;-1.81
50.78;2463.58;-1.81
50.8;2463.45;-1.81
50.82;2463.58;-1.81
50.83;2464.06;-1.81
50.85;2464.9;-1.81
50.87;2464.49;-1.81
50.88;2464.42;-1.81
50.9;2464.74;-1.81
50.92;2465.14;-1.81
50.93;2465.6;-1.81
50.95;2466.17;-1.81
50.97;2466.13;-1.81
50.98;2466.23;-1.81
51;2466.46;-1.81
51.02;2466.06;-1.81
51.03;2466;-1.81
51.05;2466.74;-1.81
51.07;2467.97;-1.81
51.08;2467.8;-1.81
51.1;2467.74;-1.81
51.12;2468.41;-1.81
51.13;2467.72;-1.81
51.15;2467.76;-1.81
51.17;2467.26;-1.81
51.18;2467.23;-1.81
51.2;2467.33;-1.81
51.22;2467.6;-1.81
51.23;2467.61;-1.81
51.25;2467.11;-1.81
51.27;2466.89;-1.81
51.28;2466.53;-1.81
51.3;2467.15;-1.81
51.32;2466.85;-1.81
51.33;2467.27;-1.81
51.35;2466.68;-1.81
51.37;2467.1;-1.81
51.38;2466.72;-1.81
51.4;2466.8;-1.81
51.42;2466.77;-1.81
51.43;2466.24;-1.81
51.45;2466.3;-1.81
51.47;2467.09;-1.81
51.48;2467.3;-1.81
51.5;2466.72;-1.81
51.52;2466.46;-1.81
51.53;2466.12;-1.81
51.55;2466;-1.81
51.57;2466.7;-1.81
51.58;2466.5;-1.81
51.6;2466.27;-1.81
51.62;2466.32;-1.81
51.63;2466.59;-1.81
51.65;2466.05;-1.81
51.67;2465.83;-1.81
51.68;2465.82;-1.81
51.7;2465.34;-1.81
51.72;2464.66;-1.81
51.73;2464.97;-1.81
51.75;2465.66;-1.81
51.77;2466.3;-1.81
51.78;2465.68;-1.81
51.8;2465.29;-1.81
51.82;2464.92;-1.81
51.83;2465.22;-1.81
51.85;2465.34;-1.81
51.87;2465.27;-1.81
51.88;2465.68;-1.81
51.9;2466.75;-1.81
51.92;2466.03;-1.81
51.93;2465.62;-1.81
51.95;2465.52;-1.81
51.97;2465.56;-1.81
51.98;2465.44;-1.81
52;2465.26;-1.81
52.02;2465.05;-1.81
52.03;2465.08;-1.81
52.05;2466.03;-1.81
52.07;2465.2;-1.81
52.08;2464.58;-1.81
52.1;2464.11;-1.81
52.12;2463.78;-1.81
52.13;2463.16;-1.81
52.15;2463.27;-1.81
52.17;2464.39;-1.81
52.18;2464.05;-1.81
52.2;2464.05;-1.81
52.22;2464.24;-1.81
52.23;2463.68;-1.81
52.25;2463.57;-1.81
52.27;2463.98;-1.81
52.28;2464.59;-1.81
52.3;2464.55;-1.81
52.32;2464.29;-1.81
52.33;2464.31;-1.81
52.35;2464.14;-1.81
52.37;2463.8;-1.81
52.38;2463.81;-1.81
52.4;2463.62;-1.81
52.42;2464.08;-1.81
52.43;2464.35;-1.81
52.45;2464.64;-1.81
52.47;2464.46;-1.81
52.48;2464.23;-1.81
52.5;2463.91;-1.81
52.52;2463.99;-1.81
52.53;2463.68;-1.81
52.55;2463.93;-1.81
52.57;2464.8;-1.81
52.58;2465.08;-1.81
52.6;2464.87;-1.81
52.62;2465.2;-1.81
52.63;2464.88;-1.81
52.65;2464.88;-1.81
52.67;2465.59;-1.81
52.68;2464.93;-1.81
52.7;2465.54;-1.81
52.72;2465.85;-1.81
52.73;2465.99;-1.81
52.75;2466.07;-1.81
52.77;2465.53;-1.81
52.78;2465.98;-1.81
52.8;2465.53;-1.81
52.82;2465.02;-1.81
52.83;2465.54;-1.81
